list of 100 random numbers: 
[42, 86, 50, 21, 69, 5, 22, 32, 80, 77, 21, 10, 71, 90, 49, 87, 87, 54, 93, 73, 63, 59, 47, 59, 85, 37, 78, 87, 41, 25, 5, 87, 83, 48, 66, 70, 83, 54, 99, 54, 29, 15, 74, 40, 11, 41, 19, 85, 44, 41, 99, 46, 12, 37, 5, 56, 74, 26, 30, 38, 67, 48, 60, 29, 80, 63, 25, 63, 21, 81, 33, 74, 18, 42, 14, 41, 90, 84, 28, 35, 69, 44, 17, 77, 78, 85, 54, 38, 34, 57, 47, 31, 97, 59, 42, 83, 72, 50, 15, 46]

 Sd while adding number: 2432.8
 Sd while deleting number: 2432.800000000005
 mean while adding number: 48.4
 mean while deleting number: 48.400000000000105

 Sd while adding number: 3723.6353056663943
 Sd while deleting number: 3723.6353056663934
 mean while adding number: 55.95
 mean while deleting number: 55.95000000000005

 Sd while adding number: 3750.7982373922114
 Sd while deleting number: 3750.7982373922114
 mean while adding number: 56.66666666666668
 mean while deleting number: 56.6666666666667

 Sd while adding number: 4347.79562891188
 Sd while deleting number: 4347.795628911878
 mean while adding number: 58.72500000000001
 mean while deleting number: 58.72500000000003

 Sd while adding number: 5030.5599999999995
 Sd while deleting number: 5030.559999999999
 mean while adding number: 54.96000000000001
 mean while deleting number: 54.96000000000003

 Sd while adding number: 5694.938155826317
 Sd while deleting number: 5694.938155826317
 mean while adding number: 52.85000000000001
 mean while deleting number: 52.85000000000001

 Sd while adding number: 5791.997284470923
 Sd while deleting number: 5791.997284470923
 mean while adding number: 52.97142857142858
 mean while deleting number: 52.97142857142858

 Sd while adding number: 6207.82859930559
 Sd while deleting number: 6207.82859930559
 mean while adding number: 52.087500000000006
 mean while deleting number: 52.087500000000006

 Sd while adding number: 6325.666904234397
 Sd while deleting number: 6325.666904234397
 mean while adding number: 52.44444444444446
 mean while deleting number: 52.44444444444446

 Sd while adding number: 6539.3348271017185
 Sd while deleting number: 6539.3348271017185
 mean while adding number: 52.62000000000001
 mean while deleting number: 52.62000000000001
